model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_CNN_model_1_sigmoid_raw,1e-06,,20,0.6886792452830188,0.3333333333333333,0.9827586206896551
cnn_model_succeeded_raw,1e-06,0.33,50,0.6886792452830188,0.3333333333333333,0.9827586206896551
CNN_model_paper2_raw,1e-07,,1,0.6886792452830188,0.3125,1.0
cnn_model_succeeded_raw,1e-06,,100,0.6886792452830188,0.3125,1.0
simple_CNN_model_1_sigmoid_raw,1e-05,,1,0.6886792452830188,0.3333333333333333,0.9827586206896551
cnn_model_succeeded_raw,1e-07,,5,0.6792452830188679,0.3333333333333333,0.9655172413793104
CNN_model_paper2_raw,1e-06,0.33,20,0.6698113207547169,0.6041666666666666,0.7241379310344828
cnn_model_succeeded_raw,1e-05,,5,0.660377358490566,0.9791666666666666,0.39655172413793105
cnn_model_succeeded_raw,1e-06,0.33,20,0.6509433962264151,0.9583333333333334,0.39655172413793105
CNN_model_paper2_raw,1e-07,,3,0.6509433962264151,0.4375,0.8275862068965517
simple_CNN_model_1_sigmoid_raw,1e-06,,5,0.6415094339622641,0.375,0.8620689655172413
CNN_model_paper2_raw,1e-07,,50,0.6037735849056604,0.14583333333333334,0.9827586206896551
cnn_model_succeeded_raw,1e-07,,10,0.6037735849056604,0.125,1.0
simple_CNN_model_1_sigmoid_raw,1e-07,0.33,5,0.6037735849056604,0.125,1.0
cnn_model_succeeded_raw,1e-05,0.33,20,0.6037735849056604,0.8958333333333334,0.3620689655172414
simple_CNN_model_1_sigmoid_raw,1e-05,0.33,3,0.5943396226415094,0.75,0.46551724137931033
cnn_model_succeeded_raw,1e-07,0.33,10,0.5943396226415094,0.2916666666666667,0.8448275862068966
cnn_model_succeeded_raw,1e-06,,1,0.5754716981132075,0.0625,1.0
cnn_model_succeeded_raw,0.0001,0.33,1,0.5660377358490566,0.041666666666666664,1.0
simple_CNN_model_1_sigmoid_raw,1e-07,,50,0.5660377358490566,0.7916666666666666,0.3793103448275862
CNN_model_paper2_raw,1e-07,0.33,10,0.5566037735849056,0.041666666666666664,0.9827586206896551
CNN_model_paper2_raw,1e-07,0.33,20,0.5566037735849056,0.020833333333333332,1.0
cnn_model_succeeded_raw,1e-07,0.33,100,0.5566037735849056,0.041666666666666664,0.9827586206896551
CNN_model_paper2_raw,1e-07,0.33,3,0.5566037735849056,0.020833333333333332,1.0
cnn_model_succeeded_raw,1e-06,,50,0.5566037735849056,0.9375,0.2413793103448276
cnn_model_succeeded_raw,1e-07,,20,0.5566037735849056,0.020833333333333332,1.0
CNN_model_paper2_raw,1e-06,,3,0.5471698113207547,0.0,1.0
CNN_model_paper2_raw,1e-06,,1,0.5471698113207547,0.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-07,0.33,3,0.5471698113207547,0.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-07,,5,0.5471698113207547,0.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-06,0.33,5,0.5471698113207547,0.0,1.0
cnn_model_succeeded_raw,1e-07,,50,0.5471698113207547,0.0,1.0
CNN_model_paper2_raw,1e-07,0.33,1,0.5471698113207547,0.0,1.0
CNN_model_paper2_raw,1e-07,0.33,50,0.5471698113207547,0.0,1.0
CNN_model_paper2_raw,1e-07,0.33,5,0.5471698113207547,0.0,1.0
cnn_model_succeeded_raw,1e-06,0.33,5,0.5471698113207547,0.0,1.0
cnn_model_succeeded_raw,1e-05,,1,0.5471698113207547,0.0,1.0
simple_CNN_model_1_sigmoid_raw,1e-07,0.33,50,0.5471698113207547,0.0,1.0
CNN_model_paper2_raw,1e-06,0.33,5,0.5471698113207547,0.0,1.0
CNN_model_paper2_raw,1e-05,0.33,3,0.5377358490566038,0.9583333333333334,0.1896551724137931
CNN_model_paper2_raw,1e-06,,20,0.5377358490566038,0.0,0.9827586206896551
CNN_model_paper2_raw,1e-05,,3,0.5283018867924528,0.020833333333333332,0.9482758620689655
CNN_model_paper2_raw,1e-05,0.33,5,0.5094339622641509,0.020833333333333332,0.9137931034482759
simple_CNN_model_1_sigmoid_raw,1e-06,0.33,3,0.5,0.9791666666666666,0.10344827586206896
simple_CNN_model_1_sigmoid_raw,1e-06,0.33,20,0.5,0.0625,0.8620689655172413
cnn_model_succeeded_raw,1e-06,,3,0.4811320754716981,0.041666666666666664,0.8448275862068966
simple_CNN_model_1_sigmoid_raw,1e-07,,10,0.4811320754716981,1.0,0.05172413793103448
cnn_model_succeeded_raw,1e-07,0.33,20,0.4811320754716981,0.6666666666666666,0.3275862068965517
CNN_model_paper2_raw,1e-06,0.33,100,0.4716981132075472,0.9166666666666666,0.10344827586206896
simple_CNN_model_1_sigmoid_raw,1e-07,,100,0.4716981132075472,1.0,0.034482758620689655
cnn_model_succeeded_raw,1e-06,,10,0.46226415094339623,0.875,0.1206896551724138
CNN_model_paper2_raw,1e-07,,10,0.46226415094339623,1.0,0.017241379310344827
simple_CNN_model_1_sigmoid_raw,1e-06,0.33,50,0.46226415094339623,1.0,0.017241379310344827
cnn_model_succeeded_raw,1e-07,0.33,1,0.46226415094339623,1.0,0.017241379310344827
simple_CNN_model_1_sigmoid_raw,0.0001,0.33,1,0.46226415094339623,0.3333333333333333,0.5689655172413793
CNN_model_paper_raw,0.0001,,20,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,0.33,50,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,,20,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,,20,0.4528301886792453,1.0,0.0
cnn_model_succeeded_raw,1e-06,,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,,20,0.4528301886792453,1.0,0.0
CNN_model_paper2_raw,1e-07,,20,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.0001,,20,0.4528301886792453,1.0,0.0
simple_CNN_model_1_sigmoid_raw,1e-07,,20,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,0.33,1,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,0.33,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,0.33,50,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-05,0.33,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-05,0.33,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-06,0.33,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-06,0.33,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,1e-07,0.33,100,0.4528301886792453,1.0,0.0
CNN_model_paper2_raw,1e-07,0.33,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,1e-07,0.33,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_sigmoid_raw,1e-07,0.33,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.001,,100,0.4528301886792453,1.0,0.0
simple_CNN_model_1_raw,0.001,,100,0.4528301886792453,1.0,0.0
CNN_model_paper_raw,0.0001,,100,0.4528301886792453,1.0,0.0
