model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_NN_PL_model_3,0.0001,,20,0.4975,0.3387096774193548,0.6355140186915887
simple_NN_PL_model_3,0.0001,0.33,5,0.4975,0.43010752688172044,0.5560747663551402
simple_NN_PL_model_2,1e-05,,8,0.495,0.45698924731182794,0.5280373831775701
simple_NN_PL_model_1,1e-05,0.33,10,0.495,0.42473118279569894,0.5560747663551402
simple_NN_PL_model_1,0.0001,,3,0.495,0.46236559139784944,0.5233644859813084
simple_NN_PL_model_2,1e-06,0.33,20,0.4925,0.4946236559139785,0.49065420560747663
simple_NN_PL_model_3,1e-06,0.33,20,0.4925,0.478494623655914,0.5046728971962616
simple_NN_PL_model_2,1e-06,,3,0.4925,0.510752688172043,0.4766355140186916
simple_NN_PL_model_2,1e-05,0.33,50,0.4925,0.510752688172043,0.4766355140186916
simple_NN_PL_model_3,0.001,,10,0.49,0.5053763440860215,0.4766355140186916
simple_NN_PL_model_1,0.01,0.33,3,0.49,0.7795698924731183,0.2383177570093458
simple_NN_PL_model_3,1e-06,,8,0.49,0.3118279569892473,0.6448598130841121
simple_NN_PL_model_1,0.0001,0.33,20,0.49,0.6290322580645161,0.3691588785046729
simple_NN_PL_model_3,0.001,0.33,8,0.49,0.8064516129032258,0.21495327102803738
simple_NN_PL_model_1,1e-05,0.33,50,0.49,0.543010752688172,0.4439252336448598
simple_NN_PL_model_1,0.0001,,10,0.49,0.478494623655914,0.5
simple_NN_PL_model_3,1e-05,,10,0.4875,0.478494623655914,0.4953271028037383
simple_NN_PL_model_3,1e-06,,50,0.4875,0.42473118279569894,0.5420560747663551
simple_NN_PL_model_2,1e-05,,3,0.4875,0.42473118279569894,0.5420560747663551
simple_NN_PL_model_2,0.001,0.33,5,0.4875,0.5967741935483871,0.3925233644859813
simple_NN_PL_model_1,1e-05,0.33,5,0.4875,0.8387096774193549,0.1822429906542056
simple_NN_PL_model_3,1e-06,,5,0.4875,0.3870967741935484,0.5747663551401869
simple_NN_PL_model_3,1e-06,,10,0.485,0.6612903225806451,0.3317757009345794
simple_NN_PL_model_2,0.001,0.33,50,0.485,0.42473118279569894,0.5373831775700935
simple_NN_PL_model_2,0.0001,0.33,20,0.485,0.5698924731182796,0.411214953271028
simple_NN_PL_model_2,0.01,0.33,10,0.4825,0.7956989247311828,0.2102803738317757
simple_NN_PL_model_2,1e-06,,8,0.4825,0.45698924731182794,0.5046728971962616
simple_NN_PL_model_3,0.001,,50,0.4825,0.40860215053763443,0.5467289719626168
simple_NN_PL_model_2,0.0001,0.33,10,0.4825,0.3817204301075269,0.5700934579439252
simple_NN_PL_model_3,1e-05,0.33,20,0.48,0.521505376344086,0.4439252336448598
simple_NN_PL_model_3,0.001,0.33,50,0.48,0.510752688172043,0.4532710280373832
simple_NN_PL_model_1,0.0001,0.33,50,0.48,0.5376344086021505,0.42990654205607476
simple_NN_PL_model_1,0.001,0.33,8,0.48,0.6881720430107527,0.29906542056074764
simple_NN_PL_model_3,0.0001,,10,0.48,0.6612903225806451,0.32242990654205606
simple_NN_PL_model_3,1e-05,0.33,3,0.48,0.5483870967741935,0.4205607476635514
simple_NN_PL_model_2,1e-06,,10,0.4775,0.5752688172043011,0.3925233644859813
simple_NN_PL_model_2,1e-05,,50,0.4775,0.4946236559139785,0.46261682242990654
simple_NN_PL_model_1,1e-06,0.33,3,0.4775,0.5161290322580645,0.4439252336448598
simple_NN_PL_model_2,1e-06,,20,0.4775,0.4731182795698925,0.48130841121495327
simple_NN_PL_model_2,0.0001,0.33,3,0.4775,0.3655913978494624,0.5747663551401869
simple_NN_PL_model_2,1e-05,0.33,5,0.4775,0.5,0.45794392523364486
simple_NN_PL_model_3,1e-06,0.33,8,0.475,0.3548387096774194,0.5794392523364486
simple_NN_PL_model_2,1e-06,0.33,8,0.475,0.5645161290322581,0.397196261682243
simple_NN_PL_model_2,0.0001,0.33,50,0.475,0.42473118279569894,0.5186915887850467
simple_NN_PL_model_3,1e-06,,3,0.4725,0.5483870967741935,0.40654205607476634
simple_NN_PL_model_1,0.01,0.33,5,0.4725,0.9946236559139785,0.018691588785046728
simple_NN_PL_model_3,0.0001,,50,0.4725,0.478494623655914,0.4672897196261682
simple_NN_PL_model_2,1e-05,,20,0.4725,0.43010752688172044,0.5093457943925234
simple_NN_PL_model_3,1e-05,,20,0.4725,0.45698924731182794,0.48598130841121495
simple_NN_PL_model_2,1e-05,,5,0.4725,0.4731182795698925,0.4719626168224299
simple_NN_PL_model_1,0.001,0.33,3,0.47,0.967741935483871,0.037383177570093455
simple_NN_PL_model_3,1e-05,,50,0.47,0.4838709677419355,0.45794392523364486
simple_NN_PL_model_3,1e-06,0.33,5,0.47,0.9086021505376344,0.08878504672897196
simple_NN_PL_model_3,0.001,0.33,10,0.4675,0.6021505376344086,0.35046728971962615
simple_NN_PL_model_1,0.001,,50,0.4675,0.43010752688172044,0.5
simple_NN_PL_model_1,0.001,0.33,5,0.4675,0.9731182795698925,0.028037383177570093
simple_NN_PL_model_1,1e-06,0.33,20,0.4675,0.8548387096774194,0.1308411214953271
simple_NN_PL_model_1,0.01,0.33,10,0.465,0.8440860215053764,0.13551401869158877
simple_NN_PL_model_2,0.01,0.33,3,0.465,1.0,0.0
simple_NN_PL_model_1,0.0001,,50,0.465,0.3924731182795699,0.5280373831775701
simple_NN_PL_model_3,0.01,0.33,5,0.465,1.0,0.0
simple_NN_PL_model_1,0.01,0.33,8,0.465,1.0,0.0
simple_NN_PL_model_2,0.01,0.33,8,0.465,1.0,0.0
simple_NN_PL_model_1,0.01,0.33,20,0.465,1.0,0.0
simple_NN_PL_model_2,0.001,,8,0.465,0.5376344086021505,0.40186915887850466
simple_NN_PL_model_3,0.01,0.33,50,0.465,1.0,0.0
simple_NN_PL_model_3,0.0001,,5,0.465,0.27956989247311825,0.6261682242990654
simple_NN_PL_model_1,0.01,,5,0.465,1.0,0.0
simple_NN_PL_model_1,1e-05,,3,0.465,1.0,0.0
simple_NN_PL_model_3,1e-05,0.33,5,0.4625,0.543010752688172,0.3925233644859813
simple_NN_PL_model_1,1e-06,,3,0.4625,0.9946236559139785,0.0
simple_NN_PL_model_3,0.0001,0.33,20,0.4625,0.5860215053763441,0.35514018691588783
simple_NN_PL_model_2,0.01,,20,0.4625,0.989247311827957,0.004672897196261682
simple_NN_PL_model_2,1e-06,0.33,3,0.4575,0.9516129032258065,0.028037383177570093
simple_NN_PL_model_3,0.001,,8,0.4575,0.7688172043010753,0.18691588785046728
simple_NN_PL_model_1,1e-05,,8,0.455,0.9301075268817204,0.04205607476635514
simple_NN_PL_model_2,0.001,0.33,3,0.455,0.8387096774193549,0.12149532710280374
simple_NN_PL_model_3,0.001,,3,0.45,0.9032258064516129,0.056074766355140186
simple_NN_PL_model_2,0.001,,50,0.45,0.3602150537634409,0.5280373831775701
simple_NN_PL_model_1,0.001,,3,0.4475,0.6182795698924731,0.29906542056074764
simple_NN_PL_model_3,1e-06,,20,0.4475,0.3548387096774194,0.5280373831775701
simple_NN_PL_model_2,1e-06,0.33,10,0.445,0.3763440860215054,0.5046728971962616
simple_NN_PL_model_1,1e-05,0.33,8,0.44,0.6559139784946236,0.2523364485981308
simple_NN_PL_model_1,1e-06,,20,0.44,0.489247311827957,0.397196261682243
simple_NN_PL_model_3,0.01,,8,0.435,0.9139784946236559,0.018691588785046728
