model,learning_rate,val_split,epochs,accuracy,TPR,TNR
simple_CNN_model_1_sigmoid,0.0001,,10,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,5,0.5225,0.0,1.0
cnn_model_succeeded,0.0001,0.33,1,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,,20,0.5225,0.0,1.0
cnn_model_succeeded,1e-07,0.33,5,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,5,0.5225,0.0,1.0
cnn_model_succeeded,0.001,,5,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,1e-05,,5,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,0.33,1,0.5225,0.0,1.0
cnn_model_succeeded,0.001,,10,0.5225,0.0,1.0
cnn_model_succeeded,0.001,0.33,10,0.5225,0.0,1.0
CNN_model_paper2,1e-06,0.33,3,0.5225,0.6701570680628273,0.3875598086124402
simple_CNN_model_1_sigmoid,0.0001,0.33,10,0.5225,0.0,1.0
cnn_model_succeeded,0.0001,0.33,10,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,10,0.5225,0.0,1.0
cnn_model_succeeded,0.001,,20,0.5225,0.0,1.0
CNN_model_paper2,0.001,0.33,1,0.5225,0.05235602094240838,0.9521531100478469
simple_CNN_model_1_sigmoid,0.0001,,100,0.5225,0.0,1.0
cnn_model_succeeded,0.001,0.33,5,0.5225,0.0,1.0
cnn_model_succeeded,0.0001,,1,0.5225,0.0,1.0
cnn_model_succeeded,1e-05,0.33,100,0.5225,0.0,1.0
CNN_model_paper2,0.001,,100,0.5225,0.0,1.0
cnn_model_succeeded,1e-07,,1,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.0001,,1,0.5225,0.0,1.0
cnn_model_succeeded,0.001,,100,0.5225,0.0,1.0
simple_CNN_model_1_sigmoid,0.001,,100,0.5225,0.0,1.0
cnn_model_succeeded,0.001,,1,0.5225,0.0,1.0
cnn_model_succeeded,1e-06,0.33,50,0.52,0.2198952879581152,0.7942583732057417
CNN_model_paper2,0.0001,0.33,50,0.52,0.5602094240837696,0.48325358851674644
cnn_model_succeeded,1e-06,0.33,100,0.52,0.13612565445026178,0.8708133971291866
CNN_model_paper2,0.001,,20,0.52,0.041884816753926704,0.9569377990430622
CNN_model_paper2,1e-05,0.33,3,0.52,0.2513089005235602,0.7655502392344498
CNN_model_paper2,0.001,,3,0.52,0.010471204188481676,0.9856459330143541
CNN_model_paper2,1e-05,,50,0.5175,0.5340314136125655,0.5023923444976076
CNN_model_paper2,0.0001,0.33,100,0.5175,0.05235602094240838,0.9425837320574163
simple_CNN_model_1_sigmoid,1e-05,,1,0.5175,0.3193717277486911,0.6985645933014354
CNN_model_paper2,1e-07,,100,0.5175,0.4816753926701571,0.5502392344497608
cnn_model_succeeded,1e-06,,10,0.5175,0.5130890052356021,0.5215311004784688
cnn_model_succeeded,1e-05,0.33,50,0.515,0.9267015706806283,0.13875598086124402
CNN_model_paper2,1e-07,,50,0.515,0.5287958115183246,0.5023923444976076
CNN_model_paper2,0.0001,,100,0.515,0.0,0.9856459330143541
cnn_model_succeeded,1e-06,0.33,3,0.515,0.6387434554973822,0.4019138755980861
cnn_model_succeeded,1e-05,,1,0.515,0.010471204188481676,0.9760765550239234
cnn_model_succeeded,1e-05,,5,0.5125,0.16230366492146597,0.8325358851674641
CNN_model_paper2,1e-05,0.33,5,0.5125,0.12041884816753927,0.8708133971291866
simple_CNN_model_1_sigmoid,1e-06,0.33,100,0.5125,0.46596858638743455,0.5550239234449761
simple_CNN_model_1_sigmoid,1e-06,,10,0.5125,0.2617801047120419,0.7416267942583732
simple_CNN_model_1_sigmoid,0.001,,50,0.51,0.9214659685863874,0.1339712918660287
cnn_model_succeeded,1e-06,0.33,10,0.51,0.6910994764397905,0.3444976076555024
CNN_model_paper2,1e-06,0.33,50,0.51,0.7382198952879581,0.3014354066985646
CNN_model_paper2,1e-05,,5,0.51,0.193717277486911,0.7990430622009569
simple_CNN_model_1_sigmoid,1e-06,0.33,3,0.51,0.7015706806282722,0.3349282296650718
cnn_model_succeeded,0.0001,0.33,50,0.5075,0.031413612565445025,0.9425837320574163
cnn_model_succeeded,0.0001,,20,0.5075,0.93717277486911,0.11483253588516747
simple_CNN_model_1_sigmoid,1e-06,0.33,10,0.5075,0.7643979057591623,0.2727272727272727
